date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
20210720,0,100,0,0,0,0,1,0,100,0,0,29,0,0,-42,-93,0,1,0,100,0,-74,0,0,0,0,-76,-100,0,-60
20210721,0,0,0,0,-69,0,100,0,-100,0,0,0,0,0,-100,0,0,0,0,-100,0,-8,0,0,0,58,100,100,0,0
20210722,0,31,0,0,0,0,2,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,-4,0,0,0,0,-78,0,0,100
20210723,0,0,0,0,0,0,-36,1,0,0,0,-29,0,0,100,0,0,-100,49,0,0,0,0,0,0,0,0,0,0,0
20210726,0,-64,100,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-49,0,0,0,0,0,0,0,0,0,0,-3
20210727,0,0,0,-43,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,0,78
20210728,0,-78,0,0,0,0,-100,0,0,0,0,0,0,0,-17,0,100,0,0,0,0,0,0,0,0,21,-11,-12,100,1
20210729,0,51,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,-33,100,0,0,0,0,0,0,0,0,0,-35,1,-39
20210730,0,-31,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,37,100,-54,0
20210802,0,100,-57,0,0,0,-49,0,0,0,0,0,0,0,0,0,-67,1,0,0,0,0,0,0,71,0,-25,-100,-9,0
20210803,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-73
20210804,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,-29,0,0,-31,0,0
20210805,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52,-42,0,0,0,0,0,-1,0,0,-15,0,-39,0
20210806,0,0,0,0,-50,0,-1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,13,100,0
20210809,0,100,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,-52,0,0,0,0,0,0,0,-42,0,6,-13,1,-16
20210810,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,-68,0,0,0,100
20210811,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210812,31,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210813,-31,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
