date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
20210326,100,100,-100,-27,100,100,-88,100,0,0,-17,-71,100,0,-100,0,0,0,0,-65,0,0,0,-100,0,0,6,-100,0,-92
20210329,1,-77,-26,-17,34,-100,0,0,0,100,0,100,0,-58,-57,0,0,100,0,0,0,0,-39,0,-74,91,0,-100,100,-53
20210330,-33,0,0,0,-72,0,0,0,0,-21,-100,100,-100,0,-27,100,0,-100,89,100,0,0,-100,-100,-11,0,100,0,100,0
20210331,-24,100,0,0,100,16,0,-10,0,-28,0,0,0,0,0,-57,0,-60,0,0,1,-80,-92,0,-43,0,0,0,100,0
20210401,0,-51,0,0,0,-16,0,100,22,0,0,-100,-84,1,0,100,100,-92,-23,-100,-90,100,0,0,0,100,0,0,0,-59
20210405,-100,-100,0,81,100,0,33,75,76,29,12,-100,48,62,100,-100,2,100,-66,26,-62,-37,21,-8,-39,-9,-100,-19,-62,82
20210406,-55,100,0,25,9,38,-33,-31,70,73,-100,0,-100,49,41,-100,51,-23,78,-43,72,-87,-63,33,-34,-25,-6,11,13,-3
20210407,-22,5,100,48,0,-38,3,-100,100,-100,100,0,0,100,-100,-32,100,-34,-56,-39,100,100,0,0,36,-41,0,-20,100,-100
20210408,48,-100,90,-100,0,0,100,-100,-100,0,-100,0,92,84,-23,0,-5,-59,100,-11,-12,100,0,0,0,0,97,-100,1,0
20210409,82,-78,-100,7,52,0,51,100,-63,-58,100,0,93,-52,-78,-66,-61,0,60,-55,-63,-100,0,56,57,-31,100,39,-41,-74
20210412,100,-24,-90,-61,-70,67,6,-58,-90,73,-100,0,-100,61,39,29,-100,28,1,-75,-75,36,0,-48,-79,100,-100,0,100,0
20210413,100,-100,0,0,59,-67,-66,4,-100,-55,100,66,-58,-30,71,0,-37,100,-6,100,-22,8,0,22,71,29,38,-5,-52,0
20210414,-72,100,19,0,-100,0,-6,-35,-39,100,3,-66,-89,-20,71,49,81,39,100,-6,0,-100,60,100,95,-100,-29,20,-21,60
20210415,17,-1,0,0,-18,72,0,-52,-28,75,-18,82,-100,-38,100,100,87,-13,79,-100,100,-93,73,100,-60,100,56,-68,54,-3
20210416,0,0,0,0,0,-70,-88,-47,0,-58,-14,100,61,-100,-39,0,0,-34,0,100,0,0,0,0,-100,0,-50,-43,0,100
20210419,0,-30,-19,0,65,0,70,-9,0,-100,-100,-39,0,-15,1,-31,0,100,87,75,0,-34,-6,-14,-78,22,79,100,69,0
20210420,-91,100,0,0,0,-2,-68,0,0,-35,-18,-12,24,-7,0,59,-100,100,-100,-73,76,100,100,-12,0,0,-2,-100,-48,0
20210421,0,100,100,82,-100,84,-2,70,0,2,0,39,-100,-3,45,0,-100,31,32,-58,78,-100,-31,-100,0,8,-81,42,-40,100
20210422,100,-4,-2,-16,-35,0,0,-32,0,100,0,0,-71,-100,-85,0,-18,2,0,0,100,0,100,0,0,0,7,-17,-34,100
20210423,-8,100,0,100,-57,-22,0,100,0,0,0,98,0,-24,0,-100,0,-85,0,0,0,0,0,-100,0,-60,0,5,-89,-43
20210426,100,-100,0,-63,0,-62,0,-73,0,0,100,100,100,0,-54,-100,0,0,-100,0,43,0,100,0,0,0,0,0,0,-95
20210427,-100,100,84,-70,-4,82,0,-23,0,33,-100,-100,-100,-65,-65,89,0,69,-88,-68,-57,0,69,-64,0,-21,70,17,-8,-44
20210428,40,23,11,-33,-7,100,0,100,73,5,0,-27,0,0,-60,20,9,100,-13,16,93,35,11,0,24,6,38,38,40,-86
20210429,-57,-68,2,0,-25,-58,0,-86,22,-65,72,0,100,0,79,31,37,1,0,-2,-100,-35,100,30,-24,48,-100,46,-49,89
20210430,-69,-100,20,0,-50,4,40,62,100,-75,62,-75,5,48,81,-63,-46,100,-24,100,38,0,-25,-30,49,-100,71,100,5,34
20210503,19,64,-6,53,100,-100,1,-41,100,100,0,0,-100,100,0,76,59,100,-100,-100,78,0,-100,0,-49,0,0,-69,-14,74
20210504,-1,0,100,100,-100,-2,100,0,0,-9,0,-1,-5,0,-40,-100,-59,0,-50,-62,-100,84,-50,0,1,100,-50,-41,-62,0
20210505,-15,100,92,-41,-11,-5,0,0,-16,-91,-15,100,0,0,-100,-100,0,0,0,100,47,0,-100,0,100,-100,0,-50,-22,0
20210506,-51,0,-40,83,-11,-21,100,100,0,0,-74,-27,0,-100,-98,100,100,-100,0,0,100,-7,0,0,-39,-12,92,1,-64,0
20210507,-87,21,100,-100,-100,0,100,52,43,27,-16,-96,100,-41,-5,6,49,-69,0,100,-22,8,-90,87,5,-100,40,-100,68,-86
20210510,-10,-100,-100,-39,-100,67,100,82,-91,-27,100,-25,60,-7,-100,21,16,-35,100,100,-100,-69,-37,55,-52,83,53,20,-74,-99
20210511,100,0,58,100,100,-5,-39,0,-31,0,0,0,0,0,-57,-95,0,100,0,48,-100,-16,1,100,-15,0,-57,-100,99,0
20210512,30,-16,-100,-100,-100,18,-100,100,-51,7,-57,80,4,0,-27,-56,-47,23,-100,100,13,0,-38,-27,46,-32,63,-39,35,-4
20210513,-70,-81,63,27,-20,100,100,28,-100,-7,6,-39,-22,35,-11,5,49,-100,0,8,56,23,38,-100,12,-17,100,-1,40,100
20210514,-22,4,30,-83,-35,-100,18,71,-35,0,60,-98,-100,82,86,-100,-43,-70,0,-100,-70,-23,1,-100,-46,-39,98,-84,10,-100
