date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
20210217,100,35,0,0,59,0,100,0,100,100,100,100,0,0,0,100,0,9,0,100,45,0,100,100,29,100,100,100,0,0
20210218,4,-35,100,0,65,0,-100,0,7,-67,-51,100,0,100,92,-63,17,100,90,-98,48,0,44,100,-8,-97,47,46,80,0
20210219,-100,100,97,0,73,0,0,44,-100,-33,100,-100,0,53,-3,49,100,-100,14,41,-92,0,10,-83,22,39,-96,62,-16,69
20210222,-4,100,100,4,-100,46,59,-44,-6,39,-44,74,100,46,92,73,7,-9,-100,-43,-1,0,-8,-100,-43,-13,-37,3,-37,-69
20210223,0,100,-100,77,61,-46,-51,12,10,-39,-69,32,-15,-100,-11,-100,100,0,100,4,0,0,-3,100,0,45,-8,-27,-27,100
20210224,35,98,-83,-81,16,26,-8,-12,66,0,-36,-36,-2,100,11,86,-36,64,100,-4,0,0,100,18,100,100,-6,-100,23,100
20210225,100,41,-100,0,-37,-26,0,0,-77,100,0,-12,-83,12,-100,-74,-100,100,43,100,0,78,-18,-100,100,-100,0,79,-23,93
20210226,-100,-84,-14,0,51,0,0,61,0,29,0,-42,0,64,-81,-22,100,22,100,-100,20,100,67,6,90,44,32,100,0,-54
20210301,-35,100,100,1,-30,86,0,-28,0,-100,57,24,95,-100,0,-32,-100,54,-24,0,-20,37,-100,37,99,-95,39,11,0,50
20210302,0,54,-3,-1,-42,100,0,100,0,100,-57,21,32,-84,88,-4,-52,-46,-4,11,23,-23,57,-30,100,100,-6,96,0,-92
20210303,0,-70,71,0,88,-100,0,-89,20,37,67,-49,-41,-8,-6,41,59,15,72,-11,-23,100,-30,-3,100,23,100,-35,0,-100
20210304,15,-40,29,100,-100,-38,0,-44,-20,-55,-67,2,-22,100,-82,63,0,100,25,0,0,0,10,34,31,-100,-24,-8,0,-23
20210305,84,45,-44,100,100,73,0,0,0,100,0,-100,100,-60,0,63,-60,100,-62,100,0,-76,-36,-79,-60,56,-100,-17,27,0
20210308,100,-100,6,-51,-4,100,0,0,0,-17,0,-14,100,-12,100,55,94,-100,54,-100,0,100,-30,100,-9,55,-41,-61,-27,49
20210309,-100,100,-21,-100,-100,-11,0,0,38,-30,100,0,45,68,83,54,-31,-79,-23,0,100,35,-59,-44,3,-100,14,100,100,100
20210310,70,-34,-83,24,-19,-100,0,17,22,-100,-22,71,-100,32,-100,68,72,100,-44,0,74,74,61,58,-38,-13,43,-8,8,84
20210311,-100,100,-55,-73,-81,100,100,20,2,84,100,34,0,79,48,71,-59,-8,-100,0,35,-6,29,-70,-12,-42,-57,100,-100,99
20210312,-6,-4,0,100,0,12,-35,38,0,-100,-100,-8,100,-36,51,-100,-100,13,-70,100,100,-95,100,92,-43,48,77,-56,-8,63
20210315,-63,-21,0,18,4,1,-65,19,-62,-48,36,-3,57,37,100,67,-11,29,-48,37,-16,-21,-100,61,8,-38,-77,-100,0,-6
20210316,0,100,0,49,100,-100,0,41,52,62,-100,11,-100,21,89,-97,0,-100,-100,100,-100,51,-68,91,-100,-12,32,100,56,-35
20210317,0,100,100,100,48,-39,78,-100,100,-50,-14,-69,-44,-100,33,-71,0,-97,-23,-100,-18,-99,100,-84,100,21,-32,100,-5,-7
20210318,100,47,-100,-44,70,-84,29,-35,-29,46,27,10,-13,-66,100,0,100,1,100,86,-100,-5,-37,19,-100,-14,100,-62,-51,5
20210319,66,100,48,84,66,0,-44,100,-52,-58,100,-41,36,-100,100,100,65,-74,-90,51,-75,-100,-90,-100,66,75,-100,-100,97,0
20210322,-100,-43,71,-63,100,77,-63,-100,58,0,19,100,74,-46,2,-100,87,-94,77,100,0,100,96,79,-30,0,88,100,-97,-10
20210323,100,100,0,-82,89,-71,0,2,0,0,43,0,75,100,0,55,-94,0,-19,-100,93,-5,-20,0,54,-64,-77,0,90,-64
20210324,100,-10,-39,-66,56,-6,0,-2,-77,0,0,-80,-54,46,22,73,-91,100,-68,98,70,-83,8,-67,-100,68,41,100,-90,-100
20210325,100,-100,46,-52,-100,0,88,63,100,5,63,46,44,9,-26,76,-67,68,0,100,-12,25,90,100,-100,-86,-52,100,0,47
