account_value,date,daily_return
1000000.0,20210217,
999700.3038712005,20210218,-0.0002996961287994315
998559.0512554739,20210219,-0.0011415947472530608
1000243.1850300217,20210222,0.0016865640268648452
999491.7646091424,20210223,-0.0007512377311090779
1001786.2629467241,20210224,0.002295665075818798
995382.311397316,20210225,-0.006392532804922912
990052.5990458375,20210226,-0.005354437476386975
997887.9635647318,20210301,0.0079140891367242
994430.8231724015,20210302,-0.0034644574526987437
989379.7355430527,20210303,-0.00507937557007232
982969.1338062745,20210304,-0.00647941483586123
994994.8704243165,20210305,0.012234093833115356
998610.5589370767,20210308,0.003633876535683367
1001062.2481058161,20210309,0.002455100386029363
1010305.8756480791,20210310,0.009233818935589166
1013305.6094570238,20210311,0.0029691342802697918
1015735.4774568635,20210312,0.002397961658518577
1022389.3834530604,20210315,0.006550825627215984
1022231.7345781061,20210316,-0.00015419651016124192
1027003.0558033373,20210317,0.004667553416545456
1020640.067152977,20210318,-0.006195686190420324
1014256.8788692474,20210319,-0.0062541031742318065
1017316.8195293769,20210322,0.0030169286734746947
1004416.0821640128,20210323,-0.012681140346556097
1005916.7056169318,20210324,0.0014940257126168088
1011859.9353466681,20210325,0.005908272222292288
1028156.5153812217,20210326,0.016105569027170086
1031533.6550337332,20210329,0.003284655207635767
1026311.0523148383,20210330,-0.005062949418479401
1023213.7807372932,20210331,-0.0030178682871623286
1026013.9139933739,20210401,0.0027366062779794476
1036501.8182572364,20210405,0.010221990287677674
1030370.4101863403,20210406,-0.005915482214209122
1029853.8915187034,20210407,-0.0005012941584215946
1030370.4665065155,20210408,0.0005016002678304154
1038432.3564569816,20210409,0.007824263420321165
1036297.3564818954,20210412,-0.002055983677521911
1034923.9073073769,20210413,-0.001325342736742341
1037118.8460578156,20210414,0.002120869693839955
1045539.95896381,20210415,0.008119718331224934
1049797.967218544,20210416,0.00407254473464036
1047369.2734848252,20210419,-0.0023134867941817516
1046149.7003316383,20210420,-0.001164415630725002
1054420.1996952363,20210421,0.007905655721142102
1043799.6937946702,20210422,-0.010072365745303236
1049279.0832314377,20210423,0.005249464499120116
1044628.8910460321,20210426,-0.0044317972784557735
1043295.2109562036,20210427,-0.0012767022827532282
1027044.7960760919,20210428,-0.015576046654347975
1029135.1169550936,20210429,0.002035277221585474
1028432.3209062731,20210430,-0.0006828996865833048
1037351.0700120012,20210503,0.008672178931394159
1039692.6631354487,20210504,0.002257281253318144
1043525.3946573412,20210505,0.003686408164441435
1051611.0351454164,20210506,0.0077483888072797935
1061737.672333439,20210507,0.009629641425950242
1058872.1699317743,20210510,-0.0026988798422939997
1047023.0216943629,20210511,-0.011190348158999108
1030226.4819888728,20210512,-0.016042187571299826
1041920.810850655,20210513,0.011351221373387732
1051952.9542269825,20210514,0.009628508493017884
1053147.9887226871,20210517,0.0011360151524864026
