account_rewards,date
-5919.762653183076,20210518
7946.197156002163,20210519
6.629407005268149,20210520
2996.0019678956596,20210521
-7451.511550113792,20210524
-4132.0268595924135,20210525
127.2718631210737,20210526
3014.3718963813735,20210527
-3073.4476245614933,20210528
4031.2603738252074,20210601
361.94781547551975,20210602
4589.272784790024,20210603
-3671.7755586471176,20210604
490.70015444944147,20210607
-1200.445579856867,20210608
2664.1851041412447,20210609
68.34678910451476,20210610
-2079.277240173309,20210611
-743.0116554107517,20210614
-10069.852536651655,20210615
1379.643865844584,20210616
-14202.747670188779,20210617
19078.700713142403,20210618
2702.5774590607034,20210621
-4247.069462326006,20210622
8602.785493163974,20210623
7944.958800689783,20210624
-11093.477643058752,20210625
-488.86779627995566,20210628
1476.7370573082007,20210629
7759.886712703737,20210630
11480.706090988126,20210701
-1020.3447579992935,20210702
2636.562311805552,20210706
-9178.529368106741,20210707
9892.246558120707,20210708
3605.4699869193137,20210709
7383.622003242606,20210712
3519.606228927616,20210713
8259.524097442627,20210714
-2964.80645851139,20210715
-26173.313584011048,20210716
12277.679609993007,20210719
4187.996883884305,20210720
-37.178200179943815,20210721
13248.235303764232,20210722
-3495.272729293676,20210723
1569.6104499970097,20210726
-13183.565411842428,20210727
4251.4985324898735,20210728
-4127.669207756175,20210729
-9852.674676361028,20210730
4798.702389869606,20210802
-16089.40801239782,20210803
5605.97082003043,20210804
2702.7373153418303,20210805
-7221.77538808831,20210806
-2175.8916112745646,20210809
-4691.927684375783,20210810
-7330.146435241913,20210811
3009.651664249599,20210812
11852.732813903829,20210813
