account_value,date,daily_return
1045516.829966431,20210518,
1039597.067313248,20210519,-0.00566204434353601
1047543.2644692501,20210520,0.007643535563772286
1047549.8938762554,20210521,6.328528119103893e-06
1050545.895844151,20210524,0.0028600088505661425
1043094.3842940372,20210525,-0.007092990015563516
1038962.3574344448,20210526,-0.003961316369648471
1039089.6292975659,20210527,0.00012249901279903774
1042104.0011939473,20210528,0.0029009739019520975
1039030.5535693858,20210601,-0.0029492714940545506
1043061.813943211,20210602,0.0038798285189753923
1043423.7617586865,20210603,0.0003470051445055855
1048013.0345434765,20210604,0.004398282800321507
1044341.2589848294,20210607,-0.0035035590566357966
1044831.9591392789,20210608,0.0004698657170036924
1043631.513559422,20210609,-0.0011489365053934941
1046295.6986635632,20210610,0.0025528024686172213
1046364.0454526677,20210611,6.532263220782042e-05
1044284.7682124944,20210614,-0.001987145152023806
1043541.7565570837,20210615,-0.0007115029137909623
1033471.904020432,20210616,-0.009649688163772874
1034851.5478862766,20210617,0.0013349602059595789
1020648.8002160878,20210618,-0.01372443003945678
1039727.5009292302,20210621,0.01869271850327281
1042430.078388291,20210622,0.0025993132399069196
1038183.0089259649,20210623,-0.0040742008028897825
1046785.7944191289,20210624,0.008286386329962925
1054730.7532198187,20210625,0.007589861118719732
1043637.27557676,20210628,-0.01051782894278308
1043148.40778048,20210629,-0.00046842692161386257
1044625.1448377882,20210630,0.0014156538478069525
1052385.031550492,20210701,0.007428393573571057
1063865.73764148,20210702,0.010909225945634704
1062845.3928834808,20210706,-0.0009590916615674905
1065481.9551952863,20210707,0.002480664007633804
1056303.4258271796,20210708,-0.008614439055820933
1066195.6723853003,20210709,0.009364966842149824
1069801.1423722196,20210712,0.003381621291758785
1077184.7643754622,20210713,0.006901864010791625
1080704.3706043898,20210714,0.003267411817663657
1088963.8947018324,20210715,0.0076427229519053785
1085999.088243321,20210716,-0.002722593901355319
1059825.77465931,20210719,-0.02410067730935961
1072103.454269303,20210720,0.01158462070234112
1076291.4511531873,20210721,0.0039063365267661965
1076254.2729530074,20210722,-3.454287418158675e-05
1089502.5082567716,20210723,0.012309577426730112
1086007.235527478,20210726,-0.0032081364685302427
1087576.845977475,20210727,0.0014453038604615998
1074393.2805656325,20210728,-0.012121962195686065
1078644.7790981224,20210729,0.003957115713020487
1074517.1098903662,20210730,-0.0038267178293927007
1064664.4352140052,20210802,-0.009169397663073342
1069463.1376038748,20210803,0.004507244002101896
1053373.729591477,20210804,-0.015044378292875082
1058979.7004115074,20210805,0.005321920095923138
1061682.4377268492,20210806,0.0025522088046556757
1054460.662338761,20210809,-0.006802199161880074
1052284.7707274863,20210810,-0.0020635114129801124
1047592.8430431106,20210811,-0.004458800331332391
1040262.6966078687,20210812,-0.006997132983410648
1043272.3482721183,20210813,0.0028931650380847884
1055125.081086022,20210816,0.011361110867679436
